,nums
0,0.923924210756181
1,0.2024919902133936
2,0.6635791807571219
3,0.47914199807608016
4,0.04078257608570135
5,0.5693273522759611
6,0.7897163570850401
7,0.737948303255329
8,0.6875705326167456
9,0.5324376187067226
10,0.22699946768090962
11,0.03625066826161372
12,0.26998721591991104
13,0.2331797588585386
14,0.5091755875106851
15,0.29106010946199723
16,0.40603950907170727
17,0.9844703665812055
18,0.71198959424067
19,0.30528742162881595
20,0.0674655651995737
21,0.11679861186523577
22,0.656758904664224
23,0.03974220172372245
24,0.059229840596645156
25,0.7496358285046368
26,0.6146409292401229
27,0.557389170114855
28,0.1995930483634326
29,0.826000756106859
30,0.33796500585287625
31,0.40703290272565085
32,0.5979641270116066
33,0.9775928259755563
34,0.19836711017125364
35,0.7118267419150558
36,0.44968802168377797
37,0.980386084190056
38,0.9363381379206389
39,0.24498220665843384
40,0.34936805493418155
41,0.6754951137568704
42,0.9350648603186856
43,0.6368626412131497
44,0.09553297694021468
45,0.8311443841347668
46,0.5541979726587725
47,0.8962134491110672
48,0.5774714942616883
49,0.8957961347992459
50,0.0876503542959447
51,0.785556203462109
52,0.4736030854601445
53,0.07688721051526182
54,0.8843497336883857
55,0.6300066335726512
56,0.5755525449367949
57,0.5566424816209671
58,0.48496831431357634
59,0.3715380177466211
60,0.011284218930509016
61,0.03564710250705638
62,0.1915200199630891
63,0.7418928267459578
64,0.9834340660631009
65,0.04639236973517791
66,0.4560280307694651
67,0.43858173906673426
68,0.5600704475285821
69,0.18651418270569087
70,0.9711503531537705
71,0.2236490958423314
72,0.5654981508123749
73,0.7672934476146611
74,0.6829234639901507
75,0.9842329837141528
76,0.924391047048098
77,0.45145687255487355
78,0.9278782652816021
79,0.31636223669690544
80,0.008514728692038509
81,0.16690870234702515
82,0.14846778918962722
83,0.14897081346147367
84,0.8302324297716253
85,0.3131932344922471
86,0.7509939541016899
87,0.9650207946568687
88,0.44595322494616785
89,0.7765594460628478
90,0.6222290719548687
91,0.5610865895461554
92,0.6887466990473106
93,0.2503147227863901
94,0.8735691445841818
95,0.07671215325663316
96,0.3008493768906494
97,0.4021361290195422
98,0.17598705584462404
99,0.17084656114178254
100,0.9395766331349212
101,0.3357090368673089
102,0.546132836048949
103,0.8262211985151066
104,0.8376136002714228
105,0.8952113760002076
106,0.9367801531974711
107,0.1584806266727541
108,0.2757145888969692
109,0.8202908581419898
110,0.8294557619276061
111,0.5921092328385021
112,0.16984238223105885
113,0.6018779992722993
114,0.5600865694880847
115,0.8660985371651079
116,0.7873661630492429
117,0.6586206280294488
118,0.3984088565704066
119,0.9813713017094325
120,0.374481146278799
121,0.9541463230462887
122,0.8395862426833547
123,0.7860210234250551
124,0.26226572511352975
125,0.23411047938049923
126,0.011501494368814313
127,0.35182248084754797
128,0.4166566532241984
129,0.22194047532810357
130,0.10833519337136832
131,0.06830897043192619
132,0.20487184547401838
133,0.7873281688274115
134,0.4456905852821895
135,0.3871844397625903
136,0.9517620766185851
137,0.7863025407280506
138,0.11388300487852832
139,0.23501873923139793
140,0.5765473289543176
141,0.10283524011388767
142,0.9944833438343883
143,0.5630254535349504
144,0.3019305473480327
145,0.6284097663699674
146,0.4231499615071175
147,0.3106034248612243
148,0.10648821543639597
149,0.11003808196924758
150,0.0881377222609111
151,0.26821380431813135
152,0.09912144955074176
153,0.4097209236476761
154,0.7849937581728724
155,0.04901030835707221
156,0.48438318304337635
157,0.7589997907483664
158,0.44425381577208434
159,0.9428452376068569
160,0.09395717169723261
161,0.3465684011308564
162,0.757304135110982
163,0.12708555873863903
164,0.029176213980186105
165,0.6775130557554456
166,0.05560912560753739
167,0.6176069099464458
168,0.8374622006725868
169,0.5163299735395572
170,0.00411086525648563
171,0.4005592255884406
172,0.10661585428908193
173,0.3861618538085625
174,0.24288066786444173
175,0.12110314424053803
176,0.024178458184149876
177,0.8704385242862546
178,0.2538181938734285
179,0.0975169090330874
180,0.9370772858627988
181,0.9466342472001961
182,0.733171881236416
183,0.49927333228184334
184,0.2721745326214755
185,0.41548389045615863
186,0.4149632014236865
187,0.8113251501259368
188,0.5514574159307082
189,0.17648682528433846
190,0.9227707069717214
191,0.4001275698767949
192,0.9645037263202398
193,0.9002029835942226
194,0.6037550048027248
195,0.7642128746910918
196,0.5296818700527969
197,0.5799232123928619
198,0.6466354540739594
199,0.8667171114472013
200,0.6925268960653052
201,0.42820724892492334
202,0.7073186694917621
203,0.46205308864014194
204,0.9873844501106879
205,0.5340075655348705
206,0.8469599050189526
207,0.8772625913162427
208,0.7675355319823273
209,0.6038961920505147
210,0.5101192636128372
211,0.7894408059987974
212,0.8257266204815585
213,0.7397651683628318
214,0.1795635019717512
215,0.7205395857293663
216,0.3942389283045583
217,0.48477542223737724
218,0.8133863915007857
219,0.7001310308348065
220,0.15948729423681107
221,0.8665292072720547
222,0.37850063044561666
223,0.9020833535975856
224,0.39705149739198276
225,0.7120877660425278
226,0.07491037304197745
227,0.6070957051262084
228,0.6782484112330768
229,0.1227670461449013
230,0.15462570167090717
231,0.13159794561829263
232,0.8372385737330539
233,0.8890206712970058
234,0.08081082467427847
235,0.1756420011597548
236,0.2735776833787774
237,0.21794548299560257
238,0.15550874969786566
239,0.10837473518600971
240,0.46650022536353375
241,0.13519816705540355
242,0.5544109125874634
243,0.5118002581507216
244,0.4546499286811796
245,0.11282442789456093
246,0.1570685416262736
247,0.9069953982601527
248,0.40204200560703485
249,0.37688048610340086
250,0.24474002849985343
251,0.6394077468347855
252,0.7025555135642396
253,0.2618268619242736
254,0.8639079655208797
255,0.6710957749349928
256,0.18375620248622626
257,0.8646404168076456
258,0.8796749979450681
259,0.7170544977444768
260,0.30053909648665333
261,0.7218858013469421
262,0.09283756009337518
263,0.6767925808078301
264,0.6019814047570557
265,0.9356463422012229
266,0.44826989135190853
267,0.2145277269769289
268,0.3809233787403208
269,0.8921639807185965
270,0.9847438586483921
271,0.3931762685221766
272,0.8793254216665622
273,0.7673086534639286
274,0.17056439229934284
275,0.27106034354198616
276,0.5877534355584472
277,0.6809173723455901
278,0.9609768211878167
279,0.38390474515716544
280,0.4190231434249926
281,0.251901088121231
282,0.005891891685089301
283,0.6864329706727228
